date,nav
20240724,75.0000
20240725,73.7400
20240726,74.6400
20240729,74.7200
20240730,73.9600
20240731,75.5800
20240801,74.5800
20240802,72.9400
20240805,70.8400
20240806,71.9000
20240807,70.9200
20240808,72.7100
20240809,73.1400
20240812,73.2400
20240813,74.6600
20240814,74.8300
20240816,76.3100
20240819,77.0900
20240820,77.1100
20240821,77.6400
20240822,76.5600
20240823,77.2900
20240826,76.8200
20240827,77.0700
20240828,76.3900
20240829,76.2700
20240830,76.4500
20240903,74.3400
20240904,74.1700
20240905,73.8900
20240906,72.5400
20240909,73.5800
20240910,74.1100
20240911,75.5400
20240912,76.2800
20240913,76.7100
20240916,76.7100
20240917,76.8200
20240918,76.4800
20240919,77.9000
20240920,77.5100
20240923,77.7500
20240924,77.9800
20240925,77.9800
20240926,78.3100
20240927,77.8300
20240930,77.2300
20241001,76.5200
20241002,76.6200
20241003,76.5900
20241004,77.2700
20241007,76.4700
20241008,77.6600
20241009,78.2700
20241010,78.2800
20241011,78.7500
20241014,79.3600
20241015,78.1900
20241016,78.4200
20241017,78.3800
20241018,78.9200
20241021,78.9500
20241022,78.9400
20241023,77.8600
20241024,78.0100
20241025,78.3500
20241028,78.4000
20241029,79.0900
20241030,78.7400
20241031,76.1500
20241104,77.0100
20241105,78.0100
20241106,79.6700
20241107,80.9300
20241108,81.0100
20241111,80.7300
20241112,80.8300
20241113,80.8000
20241114,80.3300
20241115,78.1400
20241118,78.3300
20241119,78.9300
20241120,78.8300
20241121,79.2200
20241122,79.3600
20241125,79.6200
20241126,80.2500
20241127,79.8200
20241129,79.6900
20241202,80.3800
20241203,80.8800
20241204,81.8600
20241205,81.4500
20241206,82.1900
20241209,81.4900
20241210,81.1100
20241211,82.3100
20241212,81.7900
20241213,81.8100
20241216,82.2800
20241217,81.7300
20241218,79.1400
20241219,78.9800
20241220,79.7300
20241223,80.5700
20241224,81.3800
20241227,80.2800
20241230,79.4100
20241231,77.9600
20250102,78.1800
20250103,79.3300
20250106,80.3500
20250107,78.9700
20250108,79.1000
20250110,78.0900
20250113,77.8500
20250114,77.5800
20250115,79.1800
20250116,78.9800
20250117,79.8800
20250121,80.9600
20250122,82.3100
20250123,82.8100
20250124,82.5000
20250127,80.0700
20250128,81.3100
20250129,80.7500
20250130,81.1700
20250131,80.0900
20250203,79.6700
20250204,80.4700
20250205,80.9200
20250206,81.3500
20250207,80.4900
20250210,81.3800
20250211,81.0200
20250212,80.5700
20250213,81.2500
20250214,81.0300
20250218,80.8100
20250219,80.6600
20250220,79.8800
20250221,78.2300
20250224,77.3300
20250225,76.7600
20250226,77.3100
20250227,75.2000
20250228,75.6600
20250303,73.9500
20250304,73.6500
20250305,74.7700
20250306,72.5800
20250307,72.5500
20250310,70.2300
20250311,70.1300
20250312,71.1600
20250313,69.7900
20250314,71.4300
20250317,71.8200
20250318,70.5900
20250319,71.5300
20250320,71.3300
20250321,71.5200
20250324,73.1900
20250325,73.4000
20250326,71.9400
20250327,71.4900
20250328,69.6700
20250331,68.9000
20250401,69.3300
20250402,69.8900
20250403,66.5600
20250404,63.1200
20250407,63.5000
20250408,62.6700
20250409,69.1500
20250410,66.6600
20250411,67.6600
20250414,67.8000
20250415,67.7200
20250416,65.9800
20250417,65.8300
20250422,65.8100
20250423,67.1500
20250424,68.9600
20250425,69.6100
20250428,69.4200
20250429,69.9200
20250430,69.2500
20250502,71.2700
20250505,71.0400
20250506,70.3600
20250507,70.8500
20250508,71.1900
20250512,73.6000
20250513,74.5500
20250514,74.9700
20250515,75.0500
20250516,75.4300
20250519,75.6300
20250520,75.3100
20250521,74.3500
20250522,74.3700
20250523,73.6000
20250527,75.2400
20250528,74.7700
20250530,74.2400
20250602,74.8300
20250603,75.3100
20250604,75.9200
20250605,75.7600
20250606,76.1100
20250610,76.3600
20250611,76.2300
20250612,76.4900
20250613,75.2400
20250616,76.1900
20250617,75.5900
20250618,75.3500
20250620,74.6700
20250624,76.7600
20250625,77.0300
20250626,77.8400
20250627,78.4200
20250630,78.0100
20250701,77.4200
20250702,77.6700
20250703,78.4300
20250707,77.9400
20250708,77.7400
20250709,78.5500
20250710,78.3300
20250711,78.0800
20250714,78.1700
20250715,78.1500
20250716,78.1000
20250717,78.5800
20250718,78.3300
20250721,78.6700
20250722,78.1100
20250723,78.4800
20250724,78.8600
20250725,79.1000
20250728,79.2400
20250729,78.9600
20250730,79.1300
20250731,78.2300
20250801,76.8700
20250804,78.1800
20250805,77.4100
20250806,78.3500
20250807,78.0800
20250808,78.5700
20250811,78.4300
20250812,79.4600
20250813,79.5100
20250814,79.7300
20250818,79.5400
20250819,78.6000
20250820,78.2900
20250821,77.9200
20250822,79.1000
20250825,78.8000
20250826,79.1300
20250827,79.2100
20250828,79.5400
20250829,77.9100
20250902,77.3700
20250903,77.8500
20250904,78.7600
20250905,78.7100
20250908,79.2800
20250909,79.5800
20250910,79.4800
20250911,79.8600
20250912,79.6100
20250915,80.1000
20250916,80.0800
20250917,79.7700
20250918,80.2200
20250919,80.4200
20250922,80.4700
20250923,79.7800
20250924,79.4400
20250925,78.8700
20250926,79.2300
20250929,79.5800
20250930,79.0900
20251001,79.2200
20251002,79.5700
20251003,79.4400
20251006,79.6600
20251007,79.4400
20251008,80.2500
20251009,80.2100
20251010,77.7100
20251013,79.0600
20251014,78.5100
20251015,78.8100
20251016,78.5100
20251017,78.7700
20251020,79.3700
20251021,79.4600
20251022,78.8900
20251023,79.3200
20251024,79.9400
20251027,80.9100
20251028,81.3900
20251029,81.3200
20251030,80.0800
20251031,79.7000
20251103,79.9400
20251104,79.0200
20251105,79.1400
20251106,77.8400
20251107,77.8400
20251110,79.3400
20251111,79.3100
20251112,79.3000
20251113,78.0600
20251114,77.8300
20251117,77.1900
20251118,76.4000
20251119,76.7800
20251120,75.6000
20251121,76.1300
20251124,77.6300
20251125,78.5100
20251126,79.0100
20251128,78.5200
20251201,78.1900
20251202,78.3900
20251203,78.2600
20251204,78.2700
20251205,78.5200
20251208,78.2900
20251209,78.1600
20251210,78.3300
20251211,78.3300
20251212,77.0400
20251215,76.5300
20251216,76.5700
20251217,75.5400
20251218,76.4000
20251219,77.1700
20251222,77.6300
20251223,78.1400
20251224,78.3000
20251229,78.1600
20251230,78.0700
20251231,76.6800
20260102,76.5100
20260105,76.9600
20260106,77.7900
20260107,78.0700
20260108,77.9100
20260109,78.3900
20260112,78.4600
20260113,78.0300
20260114,77.0300
20260115,77.1400
20260116,77.1000
20260120,75.4200
20260121,75.9500
20260122,76.3900
20260123,76.8000
20260126,77.0900
20260127,77.3200
20260128,77.2900
20260129,76.7200
20260130,75.1800
20260202,75.4800
20260203,73.9800
20260204,73.5000
20260205,72.6200
20260206,73.6600
20260209,74.1300
20260210,73.7800
20260211,73.3800
20260212,72.1500
20260213,72.0800
20260217,72.3100
20260218,72.9600
20260219,72.7300
20260220,73.5900
20260223,72.7300
20260224,73.2900
20260225,74.1900
20260226,73.7500
20260227,72.8200
20260302,72.5800
20260303,72.1300
20260304,72.7300
20260305,72.4600
20260306,71.3500
20260309,72.1800
20260310,71.9400
20260311,71.7200
20260312,70.3900
20260313,69.8100
20260316,70.6600
20260317,70.7000
20260318,69.5200
20260319,69.2000
20260320,68.1300
20260323,68.9800
20260324,68.2200
20260325,68.5300
20260326,67.0500
20260327,65.5000
20260330,65.4300
20260331,66.8900
20260401,67.3700
20260402,67.3900
20260407,67.9700
20260408,69.9900
20260409,70.5100
20260410,70.6400
20260413,71.4600
20260414,72.7800
20260415,73.6100
20260416,73.5900
20260417,74.5100
20260420,74.1800
20260421,73.6000
20260422,74.6000
20260423,74.1400
20260424,75.1600
20260427,75.1400
20260428,74.5000
20260429,74.4800
20260430,74.0300
20260504,74.0800
20260505,74.2600
20260506,75.3500
20260507,75.2600
20260508,75.4800
20260511,75.0900
20260512,74.9400
20260513,75.4000
20260515,75.4800
20260518,75.5900
20260519,74.8900
20260520,75.8400
20260521,75.8000
20260522,75.7600
20260526,76.1300
20260527,76.4200
20260528,77.1100
20260529,76.3200
20260601,76.5800
20260602,76.0400
20260603,75.3800
20260604,75.7200
20260605,73.6700
20260608,73.9400
20260609,73.9900
20260610,72.5400
20260611,73.6500
20260612,73.6300
20260615,75.1400
20260616,74.4700
20260617,73.3500
