基金,基準日,除息日,配息金額,除息日NAV,除息+3交易日,+3日NAV,漲跌%
摩根多重收益,2024-07-08,2024-07-09,0.709,76.6,2024-07-12,77.2,0.78
摩根多重收益,2024-08-07,2024-08-08,0.7,75.33,2024-08-13,76.15,1.09
摩根多重收益,2024-09-09,2024-09-10,0.709,76.81,2024-09-13,77.46,0.85
摩根多重收益,2024-10-08,2024-10-09,0.713,77.17,2024-10-15,77.71,0.7
摩根多重收益,2024-11-07,2024-11-08,0.708,76.77,2024-11-14,76.35,-0.55
摩根多重收益,2024-12-09,2024-12-10,0.71,76.48,2024-12-13,76.27,-0.27
摩根多重收益,2025-01-07,2025-01-08,0.693,74.38,2025-01-13,73.75,-0.85
摩根多重收益,2025-02-07,2025-02-10,0.697,75.31,2025-02-13,75.2,-0.15
摩根多重收益,2025-03-07,2025-03-10,0.684,73.73,2025-03-13,72.96,-1.04
摩根多重收益,2025-04-07,2025-04-08,0.636,69.7,2025-04-11,69.21,-0.7
摩根多重收益,2025-05-07,2025-05-08,0.666,72.09,2025-05-13,72.83,1.03
摩根多重收益,2025-06-10,2025-06-11,0.677,73.32,2025-06-16,73.31,-0.01
摩根多重收益,2025-07-07,2025-07-08,0.683,73.67,2025-07-11,73.75,0.11
摩根多重收益,2025-08-07,2025-08-08,0.685,73.94,2025-08-13,74.46,0.7
摩根多重收益,2025-09-08,2025-09-09,0.688,74.42,2025-09-12,74.83,0.55
摩根多重收益,2025-10-09,2025-10-10,0.691,74.69,2025-10-15,74.75,0.08
摩根多重收益,2025-11-07,2025-11-10,0.684,74.38,2025-11-13,74.66,0.38
摩根多重收益,2025-12-08,2025-12-09,0.687,74.22,2025-12-12,74.33,0.15
摩根多重收益,2026-01-07,2026-01-08,0.691,74.45,2026-01-13,74.75,0.4
摩根多重收益,2026-02-09,2026-02-10,0.693,75.4,2026-02-13,75.14,-0.34
摩根多重收益,2026-03-09,2026-03-10,0.68,74.36,2026-03-13,73.47,-1.2
摩根多重收益,2026-04-07,2026-04-08,0.672,73.82,2026-04-13,73.94,0.16
摩根多重收益,2026-05-07,2026-05-08,0.696,75.16,2026-05-13,75.02,-0.19
摩根多重收益,2026-06-08,2026-06-09,0.69,74.89,2026-06-12,75.06,0.23
安聯全球,2024-07-12,2024-07-15,0.07027,12.611,2024-07-18,12.5208,-0.72
安聯全球,2024-08-14,2024-08-16,0.07027,12.2162,2024-08-21,12.38,1.34
安聯全球,2024-09-13,2024-09-16,0.07027,12.5132,2024-09-19,12.5811,0.54
安聯全球,2024-10-14,2024-10-15,0.07027,12.4873,2024-10-18,12.3634,-0.99
安聯全球,2024-11-14,2024-11-15,0.07027,12.0923,2024-11-20,11.9823,-0.91
安聯全球,2024-12-13,2024-12-16,0.07027,12.031,2024-12-19,11.7363,-2.45
安聯全球,2025-01-14,2025-01-15,0.07027,11.5269,2025-01-20,11.8547,2.84
安聯全球,2025-02-14,2025-02-17,0.07027,12.104,2025-02-20,12.0516,-0.43
安聯全球,2025-03-14,2025-03-17,0.07027,11.5685,2025-03-20,11.6302,0.53
安聯全球,2025-04-14,2025-04-15,0.07027,11.0694,2025-04-22,10.766,-2.74
安聯全球,2025-05-14,2025-05-15,0.07027,11.6221,2025-05-20,11.8246,1.74
安聯全球,2025-06-13,2025-06-16,0.07027,11.9459,2025-06-19,11.7478,-1.66
安聯全球,2025-07-14,2025-07-15,0.07027,12.1283,2025-07-18,12.1297,0.01
安聯全球,2025-08-14,2025-08-18,0.07027,12.1375,2025-08-21,12.0447,-0.76
安聯全球,2025-09-12,2025-09-15,0.07027,12.2766,2025-09-18,12.2514,-0.21
安聯全球,2025-10-14,2025-10-15,0.07027,12.2722,2025-10-20,12.2562,-0.13
安聯全球,2025-11-14,2025-11-17,0.07027,12.2496,2025-11-20,12.1212,-1.05
安聯全球,2025-12-12,2025-12-15,0.07027,12.3158,2025-12-18,12.1094,-1.68
安聯全球,2026-01-14,2026-01-15,0.07027,12.3776,2026-01-20,12.1583,-1.77
安聯全球,2026-02-13,2026-02-16,0.07027,11.9037,2026-02-19,11.9524,0.41
安聯全球,2026-03-13,2026-03-16,0.07027,11.3951,2026-03-19,11.2506,-1.27
安聯全球,2026-04-14,2026-04-15,0.07027,11.7856,2026-04-20,11.9561,1.45
安聯全球,2026-05-13,2026-05-15,0.07027,11.8424,2026-05-20,11.7419,-0.85
安聯全球,2026-06-12,2026-06-15,0.07027,11.9399,,,
聯博美國成長,2024-07-30,2024-07-31,0.1806,75.58,2024-08-05,70.84,-6.27
聯博美國成長,2024-08-29,2024-08-30,0.7,76.45,2024-09-05,73.89,-3.35
聯博美國成長,2024-09-27,2024-09-30,0.7,77.23,2024-10-03,76.59,-0.83
聯博美國成長,2024-10-30,2024-10-31,0.7,76.15,2024-11-06,79.67,4.62
聯博美國成長,2024-11-27,2024-11-29,0.7,79.69,2024-12-04,81.86,2.72
聯博美國成長,2024-12-30,2024-12-31,0.8322,77.96,2025-01-06,80.35,3.07
聯博美國成長,2025-01-30,2025-01-31,0.8322,80.09,2025-02-05,80.92,1.04
聯博美國成長,2025-02-27,2025-02-28,0.8322,75.66,2025-03-05,74.77,-1.18
聯博美國成長,2025-03-28,2025-03-31,0.8322,68.9,2025-04-03,66.56,-3.4
聯博美國成長,2025-04-29,2025-04-30,0.8322,69.25,2025-05-06,70.36,1.6
聯博美國成長,2025-05-28,2025-05-30,0.8322,74.24,2025-06-04,75.92,2.26
聯博美國成長,2025-06-27,2025-06-30,0.8322,78.01,2025-07-03,78.43,0.54
聯博美國成長,2025-07-30,2025-07-31,0.8322,78.23,2025-08-05,77.41,-1.05
聯博美國成長,2025-08-28,2025-08-29,0.8322,77.91,2025-09-04,78.76,1.09
聯博美國成長,2025-09-29,2025-09-30,0.8322,79.09,2025-10-03,79.44,0.44
聯博美國成長,2025-10-30,2025-10-31,0.8322,79.7,2025-11-05,79.14,-0.7
聯博美國成長,2025-11-26,2025-11-28,0.8322,78.52,2025-12-03,78.26,-0.33
聯博美國成長,2025-12-30,2025-12-31,0.8322,76.68,2026-01-06,77.79,1.45
聯博美國成長,2026-01-29,2026-01-30,0.8322,75.18,2026-02-04,73.5,-2.23
聯博美國成長,2026-02-26,2026-02-27,0.8322,72.82,2026-03-04,72.73,-0.12
聯博美國成長,2026-03-30,2026-03-31,0.8322,66.89,2026-04-07,67.97,1.61
聯博美國成長,2026-04-29,2026-04-30,0.8322,74.03,2026-05-06,75.35,1.78
聯博美國成長,2026-05-28,2026-05-29,0.8322,76.32,2026-06-03,75.38,-1.23
