indicator,horizon,n_episodes,avg_fwd_return,pct_positive,baseline_avg,baseline_pct_positive,edge_vs_baseline
殖利率倒掛(10Y-2Y轉負),1m,4,1.6,50.0,0.8,62.6,0.8
殖利率倒掛(10Y-2Y轉負),3m,4,-2.07,50.0,2.4,69.4,-4.47
殖利率倒掛(10Y-2Y轉負),6m,4,5.14,75.0,4.86,74.2,0.28
殖利率倒掛(10Y-2Y轉負),12m,4,8.99,75.0,10.05,78.2,-1.06
Sahm_Rule觸發(失業率),1m,5,1.24,60.0,0.79,62.8,0.45
Sahm_Rule觸發(失業率),3m,5,3.06,80.0,2.37,69.2,0.69
Sahm_Rule觸發(失業率),6m,5,4.29,60.0,4.83,74.0,-0.53
Sahm_Rule觸發(失業率),12m,5,1.12,60.0,10.05,78.2,-8.93
CPI年增率突破5%,1m,2,1.99,100.0,0.8,62.6,1.19
CPI年增率突破5%,3m,2,-11.7,50.0,2.4,69.4,-14.1
CPI年增率突破5%,6m,2,-11.87,50.0,4.86,74.2,-16.72
CPI年增率突破5%,12m,2,-16.98,0.0,10.05,78.2,-27.03
M2年增率轉負,1m,1,6.29,100.0,0.81,62.7,5.48
M2年增率轉負,3m,1,7.05,100.0,2.4,69.4,4.65
M2年增率轉負,6m,1,15.91,100.0,4.86,74.2,11.06
M2年增率轉負,12m,1,24.29,100.0,10.05,78.2,14.24
VIX突破30,1m,10,-2.11,60.0,0.8,62.6,-2.91
VIX突破30,3m,10,1.16,60.0,2.4,69.4,-1.24
VIX突破30,6m,10,6.59,70.0,4.86,74.2,1.73
VIX突破30,12m,10,10.78,70.0,10.05,78.2,0.73
信用價差(Baa-10Y)年增超過1個百分點,1m,5,5.77,80.0,0.8,62.6,4.97
信用價差(Baa-10Y)年增超過1個百分點,3m,5,7.77,80.0,2.4,69.4,5.36
信用價差(Baa-10Y)年增超過1個百分點,6m,5,10.84,60.0,4.86,74.2,5.98
信用價差(Baa-10Y)年增超過1個百分點,12m,5,9.98,60.0,10.05,78.2,-0.07
油價年增超過50%,1m,9,0.78,55.6,0.8,62.6,-0.02
油價年增超過50%,3m,8,2.91,75.0,2.4,69.4,0.51
油價年增超過50%,6m,8,1.4,62.5,4.86,74.2,-3.46
油價年增超過50%,12m,8,9.11,87.5,10.05,78.2,-0.94
新屋開工年減超過20%,1m,4,4.06,100.0,0.8,62.6,3.26
新屋開工年減超過20%,3m,4,8.9,100.0,2.4,69.4,6.5
新屋開工年減超過20%,6m,4,13.23,100.0,4.86,74.2,8.37
新屋開工年減超過20%,12m,4,27.5,100.0,10.05,78.2,17.45
建照年減超過20%,1m,2,4.27,100.0,0.8,62.6,3.47
建照年減超過20%,3m,2,7.31,100.0,2.4,69.4,4.91
建照年減超過20%,6m,2,11.89,100.0,4.86,74.2,7.04
建照年減超過20%,12m,2,18.63,100.0,10.05,78.2,8.58
房貸利率12月內漲超過1.5個百分點,1m,3,-1.47,33.3,0.8,62.6,-2.27
房貸利率12月內漲超過1.5個百分點,3m,3,-0.13,33.3,2.4,69.4,-2.53
房貸利率12月內漲超過1.5個百分點,6m,3,-0.31,66.7,4.86,74.2,-5.17
房貸利率12月內漲超過1.5個百分點,12m,3,5.83,66.7,10.05,78.2,-4.22
房價(Case-Shiller)年增率轉負,1m,2,2.45,100.0,0.8,62.7,1.65
房價(Case-Shiller)年增率轉負,3m,2,8.0,100.0,2.4,69.4,5.6
房價(Case-Shiller)年增率轉負,6m,2,4.0,100.0,4.86,74.2,-0.86
房價(Case-Shiller)年增率轉負,12m,2,6.81,50.0,10.05,78.2,-3.24
